name,url,search_query
The Monroe Cafe,https://www.google.com/maps/place/The+Monroe+Cafe/data=!4m7!3m6!1s0x3962fd476996de89:0xdc938936a2d350ea!8m2!3d22.7266989!4d75.8841489!16s%2Fg%2F11byxh3lzz!19sChIJid6WaUf9YjkR6lDTojaJk9w?authuser=0&hl=en&rclk=1,best restaurants in Indore
Dawat Top Family Restaurant,https://www.google.com/maps/place/Dawat+Top+Family+Restaurant/data=!4m7!3m6!1s0x3962fd389aef5ca1:0x76e33b84cd2dc197!8m2!3d22.7253668!4d75.8844852!16s%2Fg%2F11f3v7s884!19sChIJoVzvmjj9YjkRl8EtzYQ743Y?authuser=0&hl=en&rclk=1,best restaurants in Indore
The Eighteen,https://www.google.com/maps/place/The+Eighteen/data=!4m7!3m6!1s0x3962fdb19742a107:0x28f655e08b5f1602!8m2!3d22.7452622!4d75.893149!16s%2Fg%2F11h0zhkmws!19sChIJB6FCl7H9YjkRAhZfi-BV9ig?authuser=0&hl=en&rclk=1,best restaurants in Indore
Karigari Indore,https://www.google.com/maps/place/Karigari+Indore/data=!4m7!3m6!1s0x3963039e21d19db1:0xda10078ae0e34904!8m2!3d22.7553252!4d75.8957233!16s%2Fg%2F11w3f4vv1p!19sChIJsZ3RIZ4DYzkRBEnj4IoHENo?authuser=0&hl=en&rclk=1,best restaurants in Indore
Farzi Cafe Indore,https://www.google.com/maps/place/Farzi+Cafe+Indore/data=!4m7!3m6!1s0x3962fd11bdc3813b:0xa99558d72c6f05b!8m2!3d22.7498929!4d75.8968562!16s%2Fg%2F11h0qcgxzd!19sChIJO4HDvRH9YjkRW_DGco1VmQo?authuser=0&hl=en&rclk=1,best restaurants in Indore
McDonald's,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x3962fd6d5c629411:0xf7bbb1019d94e8a7!8m2!3d22.7215317!4d75.8786258!16s%2Fg%2F1tg8h3_5!19sChIJEZRiXG39YjkRp-iUnQGxu_c?authuser=0&hl=en&rclk=1,best restaurants in Indore
#Wood Cafe,https://www.google.com/maps/place/%23Wood+Cafe/data=!4m7!3m6!1s0x3962fd476e107f7f:0x2094b3144d9456ef!8m2!3d22.7228859!4d75.8868703!16s%2Fg%2F11byxgb88p!19sChIJf38Qbkf9YjkR71aUTRSzlCA?authuser=0&hl=en&rclk=1,best restaurants in Indore
Vijay Chaat House (Chappan Dukan),https://www.google.com/maps/place/Vijay+Chaat+House+%28Chappan+Dukan%29/data=!4m7!3m6!1s0x3962fd38f01dc527:0xea5cd0c67ade6e2d!8m2!3d22.7237365!4d75.8846232!16s%2Fg%2F124yj6xjf!19sChIJJ8Ud8Dj9YjkRLW7eesbQXOo?authuser=0&hl=en&rclk=1,best restaurants in Indore
Ratna Raj Restaurant,https://www.google.com/maps/place/Ratna+Raj+Restaurant/data=!4m7!3m6!1s0x3962fd66ff6c6aaf:0xb747e288f72f8aaa!8m2!3d22.7191366!4d75.8849825!16s%2Fg%2F11s87jn5y3!19sChIJr2ps_2b9YjkRqoov94jiR7c?authuser=0&hl=en&rclk=1,best restaurants in Indore
Chopstick City,https://www.google.com/maps/place/Chopstick+City/data=!4m7!3m6!1s0x396302a86bd98e97:0x6ec6afd4b408da2e!8m2!3d22.7513328!4d75.8892278!16s%2Fg%2F11g88g9jpr!19sChIJl47Za6gCYzkRLtoItNSvxm4?authuser=0&hl=en&rclk=1,best restaurants in Indore
Herb's & Chillies (Saffron Cafe & Restro),https://www.google.com/maps/place/Herb%27s+%26+Chillies+%28Saffron+Cafe+%26+Restro%29/data=!4m7!3m6!1s0x3962fda93857dab1:0x28c9c751657d5fba!8m2!3d22.7008461!4d75.8447307!16s%2Fg%2F11pz7y0qck!19sChIJsdpXOKn9YjkRul99ZVHHySg?authuser=0&hl=en&rclk=1,best restaurants in Indore
H3 Cafe,https://www.google.com/maps/place/H3+Cafe/data=!4m7!3m6!1s0x3962fdbfec422d27:0xe2f50ab5a735dcb3!8m2!3d22.7256505!4d75.8826238!16s%2Fg%2F11yjyrpyr7!19sChIJJy1C7L_9YjkRs9w1p7UK9eI?authuser=0&hl=en&rclk=1,best restaurants in Indore
"Sanchi - Dum Pukht, Awadhi Cuisine Restaurant","https://www.google.com/maps/place/Sanchi+-+Dum+Pukht,+Awadhi+Cuisine+Restaurant/data=!4m7!3m6!1s0x396302a86970832f:0xfac30e127e313594!8m2!3d22.7513406!4d75.8891722!16s%2Fg%2F11dd_s8spf!19sChIJL4NwaagCYzkRlDUxfhIOw_o?authuser=0&hl=en&rclk=1",best restaurants in Indore
Hotel 🏨,https://www.google.com/maps/place/Hotel+%F0%9F%8F%A8/data=!4m7!3m6!1s0x3962fd160ce31c23:0xc4f526d145c41d93!8m2!3d22.7195467!4d75.8836775!16s%2Fg%2F11byxh2lpb!19sChIJIxzjDBb9YjkRkx3ERdEm9cQ?authuser=0&hl=en&rclk=1,best restaurants in Indore
Om Sai Prashad Bhojnalay,https://www.google.com/maps/place/Om+Sai+Prashad+Bhojnalay/data=!4m7!3m6!1s0x3962fd1142c42271:0xa0844a51672db84c!8m2!3d22.7179009!4d75.8694872!16s%2Fg%2F11bbtnss46!19sChIJcSLEQhH9YjkRTLgtZ1FKhKA?authuser=0&hl=en&rclk=1,best restaurants in Indore
